epoch,phase,loss,acc,spec,sens,gmean,mcc,auc,thr_opt,key,key_name,val_thr
1,train,0.3547971605368263,,,,,,,,,,
1,val,0.33230013054234503,0.8833671399594321,1.0,0.0,0.0,0.0,0.8877552039135427,0.5,0.0,mcc,0.5
2,train,0.4140186532475772,,,,,,,,,,
2,val,0.36574147294065773,0.8833671399594321,1.0,0.0,0.0,0.0,0.8441920830629461,0.5,0.0,mcc,0.5
3,train,0.38992055007717663,,,,,,,,,,
3,val,0.3616149577994134,0.8833671399594321,1.0,0.0,0.0,0.0,0.833459791344282,0.5,0.0,mcc,0.5
4,train,0.3743081889006688,,,,,,,,,,
4,val,0.347364465677714,0.8833671399594321,1.0,0.0,0.0,0.0,0.7805021714171616,0.5,0.0,mcc,0.5
5,train,0.3614433622311885,,,,,,,,,,
5,val,0.3699474815150787,0.8843813387423936,1.0,0.008695652173913044,0.09325048082403138,0.08768837905213046,0.8135127040383368,0.5,0.08768837905213046,mcc,0.5
6,train,0.34432210476868214,,,,,,,,,,
6,val,0.3223689233404386,0.8935091277890467,0.9977037887485649,0.10434782608695652,0.32265805651592344,0.2768730779031091,0.837198622273249,0.5,0.2768730779031091,mcc,0.5
7,train,0.32524400172945855,,,,,,,,,,
7,val,0.34098157656150463,0.8945233265720081,1.0,0.09565217391304348,0.3092768564135433,0.2923170801754814,0.8563120850596515,0.5,0.2923170801754814,mcc,0.5
8,train,0.3019590231565738,,,,,,,,,,
8,val,0.29406799428905483,0.9127789046653144,0.9896670493685419,0.33043478260869563,0.5718569893890284,0.48224133426849863,0.8708980182698547,0.5,0.48224133426849863,mcc,0.5
9,train,0.29092874312751316,,,,,,,,,,
9,val,0.27291414697803784,0.9168356997971603,0.9931113662456946,0.3391304347826087,0.5803398051335553,0.5109885884240548,0.8903010033444817,0.5,0.5109885884240548,mcc,0.5
10,train,0.27615741993092574,,,,,,,,,,
10,val,0.31285387871533815,0.9056795131845842,0.9988518943742825,0.2,0.4469567975485511,0.41418519733537407,0.8999450906005091,0.5,0.41418519733537407,mcc,0.5
11,train,0.26919837376079514,,,,,,,,,,
11,val,0.2627120605513121,0.9269776876267748,0.9919632606199771,0.43478260869565216,0.6567254937815333,0.5869242300481254,0.9031298357709779,0.5,0.5869242300481254,mcc,0.5
12,train,0.2644383732195479,,,,,,,,,,
12,val,0.2500192832813785,0.9279918864097363,0.9942594718714122,0.4260869565217391,0.6508770946673432,0.5930079603580628,0.912803873608546,0.5,0.5930079603580628,mcc,0.5
13,train,0.24977483567393038,,,,,,,,,,
13,val,0.29558847767525703,0.9158215010141988,0.9988518943742825,0.28695652173913044,0.5353756301347544,0.5027766247744978,0.91699196326062,0.5,0.5027766247744978,mcc,0.5
14,train,0.25703920991527907,,,,,,,,,,
14,val,0.2513933281809031,0.9269776876267748,0.9931113662456946,0.4260869565217391,0.6505011910294817,0.586301963727124,0.9151050766235711,0.5,0.586301963727124,mcc,0.5
15,train,0.2545838738958773,,,,,,,,,,
15,val,0.2747929796319583,0.9198782961460447,0.9942594718714122,0.3565217391304348,0.5953781286363343,0.5338896210105394,0.9169170868067689,0.5,0.5338896210105394,mcc,0.5
16,train,0.26316205246217267,,,,,,,,,,
16,val,0.2559324413628656,0.9279918864097363,0.9724454649827784,0.591304347826087,0.7582949501797289,0.6221308468131924,0.913193231168572,0.5,0.6221308468131924,mcc,0.5
17,train,0.2418289766289689,,,,,,,,,,
